,incident_id,incident_date,state,city_county,address,number_killed,number_injured,latitude,longitude
0,1993551,2021-05-03,Michigan,Saginaw,1315 Randolph St,1,4,43.4033199,-83.9475526
1,1993090,2021-05-02,Ohio,Columbus,491 Park St,0,4,39.9722276,-83.00516680000001
2,1993664,2021-05-02,Pennsylvania,Philadelphia,5200 block of Burton St,1,3,40.01500240000001,-75.0709591
3,1993221,2021-05-02,Maryland,Baltimore,1500 block of Washington Blvd,1,3,39.2789545,-76.64298670000001
4,1993280,2021-05-02,Illinois,Chicago,2100 block of W Adams St,0,5,41.8787782,-87.67950019999999
5,1992570,2021-05-02,Minnesota,Saint Paul,843 Selby Ave,0,4,44.9468185,-93.1357598
6,1992127,2021-05-01,Delaware,Wilmington,800 block of N Pine St,0,4,39.740886,-75.54285399999999
7,1992534,2021-05-01,Louisiana,New Orleans,St Bernard Ave and N Claiborne Ave,2,4,29.9725872,-90.0654565
8,1992410,2021-05-01,New York,New Rochelle,Horton Ave and Brook St,1,4,40.91987100000001,-73.789099
9,1992490,2021-05-01,Massachusetts,Holyoke,209 South St,0,5,42.19593649999999,-72.6218317
10,1992469,2021-05-01,Florida,Clewiston,1117 Harlem Academy Ave,1,3,26.7376574,-80.95358039999999
11,1990821,2021-04-29,Georgia,Atlanta,2300 block of Polar Rock Terrace SW,1,5,33.6916383,-84.39455
12,1990600,2021-04-28,Florida,Miami,2100 block of NW 85th St,0,5,25.8518845,-80.2317391
13,1989840,2021-04-28,North Carolina,Boone,553 Hardaman Cir,5,0,36.2124213,-81.6042866
14,1988688,2021-04-27,Virginia,Richmond,4000 Midlothian Turnpike,2,3,37.508393,-77.4798769
15,1989023,2021-04-27,Alabama,Fairfield,200 block of Glen Crest Dr,1,4,33.4580323,-86.924692
16,1987241,2021-04-26,Louisiana,Houma,656 Corporate Dr,0,5,29.6098623,-90.7582942
17,1988326,2021-04-26,Oregon,Gresham,SE Stark St and SE 174th Ave,0,7,45.5191451,-122.484608
18,1991347,2021-04-25,Texas,Palestine,1101 W Palestine Ave,0,4,31.7675803,-95.6455897
19,1987235,2021-04-25,Alabama,Phenix City,1700 Highway 280 Bypass,0,4,32.4609911,-85.0191653
20,1986593,2021-04-25,Arkansas,Little Rock,1900 E 6th St,1,3,34.7420278,-92.24897750000001
21,1986770,2021-04-25,Missouri,Kansas City,E 18th St and Vine St,1,3,39.0912122,-94.5633278
22,1985432,2021-04-24,Louisiana,New Orleans,100 block of Bourbon St,0,5,29.9542063,-90.0691878
23,1984807,2021-04-22,California,San Diego,500 block of J St,1,4,32.7095105,-117.1599882
24,1981805,2021-04-19,Texas,Houston,700 E Whitney St,2,4,29.8304693,-95.3892745
25,1982260,2021-04-19,Georgia,Atlanta,1191 Oakland Ln SW,0,5,33.7197359,-84.42625249999999
26,1982020,2021-04-18,Alabama,Montgomery,2300 block of Day St,1,4,32.3698089,-86.3293563
27,1981521,2021-04-18,Michigan,Detroit,Ward Ave and W McNichols Rd,1,5,42.4166243,-83.1742467
28,1981353,2021-04-18,Louisiana,Shreveport,3701 Hearne Ave,0,6,32.4777776,-93.7795905
29,1980689,2021-04-18,Wisconsin,Kenosha,1548 Sheridan Rd,3,3,42.6303111,-87.82177659999999
30,1980492,2021-04-17,Ohio,Columbus,5001 Chatterton Rd,1,5,39.914772,-82.86195909999999
31,1980971,2021-04-17,Louisiana,La Place (Laplace),624 Golfview Dr,0,9,30.0843142,-90.4843125
32,1979684,2021-04-16,Michigan,Detroit,Conant St and Minnesota St,0,4,42.4237923,-83.06714099999999
33,1978635,2021-04-15,Indiana,Indianapolis,8951 Mirabel Rd,9,7,39.6810865,-86.3218126
34,1978561,2021-04-15,District of Columbia,Washington,1800 block of West Virginia Ave NE,0,4,38.9104693,-76.9857718
35,1979869,2021-04-15,Louisiana,Lake Charles,4101 5th Ave,1,3,30.1861705,-93.18758389999999
36,1978616,2021-04-15,Florida,Pensacola,700 Truman Ave,0,6,30.4508854,-87.2525044
37,1978652,2021-04-15,Illinois,Chicago,600 block of N Sawyer Ave,0,4,41.8919757,-87.7079322
38,1976538,2021-04-13,Maryland,Baltimore,2300 block of Hoffman St,0,4,39.3069579,-76.5851806
39,1975296,2021-04-12,Illinois,Chicago,I-290 and S Damen Ave,1,3,41.8464272,-87.6768188
40,1974943,2021-04-11,Kansas,Wichita,200 block of N Battin St,1,3,37.6886379,-97.27681369999999
41,1975004,2021-04-11,Washington,Seattle,306 23rd Ave S,0,4,47.60011369999999,-122.301807
42,1973809,2021-04-10,Michigan,Allendale,4926 Becker Dr,0,4,42.97387140000001,-85.90771219999999
43,1974088,2021-04-10,Tennessee,Memphis,4315 S 3rd St,1,3,35.0310041,-90.0781442
44,1973692,2021-04-10,Missouri,Koshkonong,US-63 and MO-F,1,3,36.5945801,-91.6432198
45,1975405,2021-04-10,Connecticut,Waterbury,36 Gasparri Ln,0,4,41.5444505,-73.0118552
46,1973844,2021-04-09,Texas,Fort Worth,2000 block of SW Loop 820,1,5,32.6672368,-97.3503558
47,1972187,2021-04-08,Texas,Bryan,350 Stone City Dr,1,5,30.6502126,-96.40357639999999
48,1971410,2021-04-07,South Carolina,Rock Hill,4456 Marshall Rd,7,0,34.8522468,-81.0585637
49,1970937,2021-04-07,Wisconsin,Milwaukee,2627 W Capitol Dr,2,3,43.0894763,-87.9466656
50,1973435,2021-04-07,Ohio,Dayton,Hoover Ave and Summit Square,0,4,39.7613206,-84.2839135
51,1969899,2021-04-06,District of Columbia,Washington,4100 block of Ames St NE,0,4,38.890882,-76.944559
52,1970245,2021-04-06,Michigan,Detroit,6100 block of Lodewyck St,1,3,42.417922,-82.9255702
53,1970378,2021-04-05,Illinois,Chicago,6800 block of S Justine Ave,0,7,41.7702472,-87.66302569999999
54,1969065,2021-04-05,Maryland,Baltimore,300 block of N Eutaw St,0,5,39.293015,-76.6214375
55,1969505,2021-04-04,Louisiana,Monroe,207 Sterlington Rd,0,6,32.5234094,-92.0821675
56,1968887,2021-04-04,Alabama,Birmingham,3969 14th Ave N,1,5,33.546626,-86.7802428
57,1969633,2021-04-04,Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,30.02913989999999,-94.0576091
58,1967914,2021-04-03,North Carolina,Wilmington,718 Kidder St,3,4,34.219461,-77.9377121
59,1967893,2021-04-03,Alabama,Tuscaloosa,2314 4th St,0,5,33.2112843,-87.568085
60,1969221,2021-04-03,Texas,Allen,1517 Pine Bluff Dr,6,0,33.0919426,-96.63064
61,1968553,2021-04-03,Florida,Quincy,2114 Pat Thomas Parkway,0,7,30.5543582,-84.5933232
62,1966181,2021-03-31,California,Orange,202 West Lincoln Ave,4,2,33.8352138,-117.8537516
63,1965890,2021-03-31,District of Columbia,Washington,1300 block of Congress St SE,2,3,38.8420935,-76.9881802
64,1963556,2021-03-28,Ohio,Cleveland,5100 Pearl Rd,0,7,41.4203283,-81.7269051
65,1964085,2021-03-28,Illinois,Chicago,I-57 and W 127th St,0,4,41.6851283,-87.6613746
66,1963598,2021-03-28,Maryland,Essex,1601 Middleborough Rd,5,1,39.3057076,-76.4416665
67,1964030,2021-03-28,Texas,San Antonio,2011 Dollarhide Ave,0,4,29.3661496,-98.4379984
68,1963052,2021-03-27,Illinois,Chicago,500 block of N Leamington Ave,0,4,41.8894537,-87.7544788
69,1962934,2021-03-27,Mississippi,Yazoo City,Dr Martin Luther King Jr Dr and Shady Dr,0,6,32.8641025,-90.4112479
70,1962686,2021-03-27,Illinois,River Grove,Belmont Ave,1,3,41.9374525,-87.8398751
71,1962562,2021-03-26,Virginia,Virginia Beach,2000 block of Atlantic Ave,0,9,36.84848,-75.97544599999999
72,1961753,2021-03-26,Illinois,Chicago,2515 W 79th St,1,7,41.7499036,-87.68604069999999
73,1964271,2021-03-26,Virginia,Norfolk,100 block of W Balview Ave,0,4,36.9524405,-76.2522572
74,1962890,2021-03-26,Tennessee,Memphis,500 block of Arrington Ave,3,2,35.1720324,-90.0382565
75,1962507,2021-03-26,Pennsylvania,Philadelphia,1080 N Delaware Ave,0,7,39.965831,-75.1327405
76,1960283,2021-03-23,Alabama,Aliceville,1st Ave SW and 15th St,2,2,,
77,1958652,2021-03-22,Colorado,Boulder,3600 Table Mesa Dr,10,1,39.9835951,-105.2511107
78,1959549,2021-03-22,Michigan,Detroit,13300 block of Davidson St,1,3,42.4236022,-83.0238677
79,1957188,2021-03-20,Texas,Houston,10266 North Fwy,0,5,29.91408689999999,-95.4117311
80,1957226,2021-03-20,Texas,Dallas,10333 Technology Blvd,1,7,32.8632042,-96.8979081
81,1957252,2021-03-20,Pennsylvania,Philadelphia,4234 Germantown Ave,1,5,40.018908,-75.155956
82,1956081,2021-03-18,Oregon,Gresham,750 E Powell Blvd,0,4,45.4980457,-122.4232841
83,1955948,2021-03-18,Louisiana,New Orleans,2400 Annette St,0,4,29.9814989,-90.06387959999999
84,1956001,2021-03-17,California,Stockton,Oro Ave and E Main St,0,5,37.9539772,-121.2342465
85,1954379,2021-03-16,Georgia,Acworth,6468 Hwy 92,8,1,34.0881409,-84.5808034
86,1954950,2021-03-16,Arizona,Phoenix,6215 W Elm St,4,1,33.5059401,-112.1912943
87,1953309,2021-03-15,Indiana,Indianapolis,2300 block of N Harding St,1,4,39.7994816,-86.1875526
88,1953202,2021-03-14,Florida,Tampa,10101 US-92,0,4,27.9953528,-82.3349734
89,1952662,2021-03-14,Illinois,Chicago,2600 block of E 77th St,0,4,41.755633,-87.561257
90,1952281,2021-03-14,Illinois,Chicago,6798 block of S South Chicago Ave,2,13,41.7708355,-87.6127267
91,1952151,2021-03-13,New York,Brooklyn,917 Flushing Ave,0,5,40.7024045,-73.93614459999999
92,1951681,2021-03-13,Florida,Orlando,200 block of Ring Rd,1,3,28.5387883,-81.4513092
93,1952161,2021-03-13,Indiana,Indianapolis,300 block of N Randolph St,4,1,39.7704942,-86.128327
94,1951738,2021-03-13,Virginia,Richmond,5100 block of Richmond Henrico Tpke,2,4,37.6017766,-77.42488
