,incident_id,incident_date,state,city_county,address,number_killed,number_injured,latitude,longitude
0,1987241,2021-04-26,Louisiana,Houma,656 Corporate Dr,0,5,36.1450958,-96.0023638
1,1987235,2021-04-25,Alabama,Phenix City,1700 Highway 280 Bypass,0,4,37.7640281,-122.1743935
2,1986593,2021-04-25,Arkansas,Little Rock,1900 E 6th St,1,3,37.7194881,-122.425285
3,1986770,2021-04-25,Missouri,Kansas City,E 18th St and Vine St,1,3,41.7718443,-87.67278499999999
4,1985432,2021-04-24,Louisiana,New Orleans,100 block of Bourbon St,0,5,30.7029976,-88.0786828
5,1984807,2021-04-22,California,San Diego,500 block of J St,1,4,42.2699348,-88.96278009999999
6,1981805,2021-04-19,Texas,Houston,700 E Whitney St,2,4,34.027134,-118.3507829
7,1982260,2021-04-19,Georgia,Atlanta,1191 Oakland Ln SW,0,5,41.88387900000001,-87.7085187
8,1982020,2021-04-18,Alabama,Montgomery,2300 block of Day St,1,4,41.872262,-87.69373
9,1981521,2021-04-18,Michigan,Detroit,Ward Ave and W McNichols Rd,1,5,42.91211149999999,-85.62301
10,1981353,2021-04-18,Louisiana,Shreveport,3701 Hearne Ave,0,6,38.5979369,-121.4276274
11,1980689,2021-04-18,Wisconsin,Kenosha,1548 Sheridan Rd,3,3,40.6327104,-74.0271053
12,1980492,2021-04-17,Ohio,Columbus,5001 Chatterton Rd,1,5,29.9673972,-90.10182309999999
13,1980971,2021-04-17,Louisiana,La Place (Laplace),624 Golfview Dr,0,9,44.9884743,-93.25497960000001
14,1979684,2021-04-16,Michigan,Detroit,Conant St and Minnesota St,0,4,29.3984415,-98.5042924
15,1978635,2021-04-15,Indiana,Indianapolis,8951 Mirabel Rd,9,7,41.0321327,-87.5381426
16,1978561,2021-04-15,District of Columbia,Washington,1800 block of West Virginia Ave NE,0,4,36.7565424,-119.7711186
17,1979869,2021-04-15,Louisiana,Lake Charles,4101 5th Ave,1,3,37.7849319,-122.4129481
18,1978616,2021-04-15,Florida,Pensacola,700 Truman Ave,0,6,36.1144629,-80.24526589999999
19,1978652,2021-04-15,Illinois,Chicago,600 block of N Sawyer Ave,0,4,30.0216391,-95.3123538
20,1976538,2021-04-13,Maryland,Baltimore,2300 block of Hoffman St,0,4,29.7235827,-95.4421156
21,1975296,2021-04-12,Illinois,Chicago,I-290 and S Damen Ave,1,3,40.110245,-88.2353849
22,1974943,2021-04-11,Kansas,Wichita,200 block of N Battin St,1,3,39.3048255,-76.6081873
23,1975004,2021-04-11,Washington,Seattle,306 23rd Ave S,0,4,48.4616279,-122.3386173
24,1973809,2021-04-10,Michigan,Allendale,4926 Becker Dr,0,4,39.9854586,-75.08588999999999
0,1974088,2021-04-10,Tennessee,Memphis,4315 S 3rd St,1,3,36.1450958,-96.0023638
1,1973692,2021-04-10,Missouri,Koshkonong,US-63 and MO-F,1,3,37.7640281,-122.1743935
2,1975405,2021-04-10,Connecticut,Waterbury,36 Gasparri Ln,0,4,37.7194881,-122.425285
3,1973844,2021-04-09,Texas,Fort Worth,2000 block of SW Loop 820,1,5,41.7718443,-87.67278499999999
4,1972187,2021-04-08,Texas,Bryan,350 Stone City Dr,1,5,30.7029976,-88.0786828
5,1971410,2021-04-07,South Carolina,Rock Hill,4456 Marshall Rd,7,0,42.2699348,-88.96278009999999
6,1970937,2021-04-07,Wisconsin,Milwaukee,2627 W Capitol Dr,2,3,34.027134,-118.3507829
7,1973435,2021-04-07,Ohio,Dayton,Hoover Ave and Summit Square,0,4,41.88387900000001,-87.7085187
8,1969899,2021-04-06,District of Columbia,Washington,4100 block of Ames St NE,0,4,41.872262,-87.69373
9,1970245,2021-04-06,Michigan,Detroit,6100 block of Lodewyck St,1,3,42.91211149999999,-85.62301
10,1970378,2021-04-05,Illinois,Chicago,6800 block of S Justine Ave,0,7,38.5979369,-121.4276274
11,1969065,2021-04-05,Maryland,Baltimore,300 block of N Eutaw St,0,5,40.6327104,-74.0271053
12,1969505,2021-04-04,Louisiana,Monroe,207 Sterlington Rd,0,6,29.9673972,-90.10182309999999
13,1968887,2021-04-04,Alabama,Birmingham,3969 14th Ave N,1,5,44.9884743,-93.25497960000001
14,1969633,2021-04-04,Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,29.3984415,-98.5042924
15,1967914,2021-04-03,North Carolina,Wilmington,718 Kidder St,3,4,41.0321327,-87.5381426
16,1967893,2021-04-03,Alabama,Tuscaloosa,2314 4th St,0,5,36.7565424,-119.7711186
17,1969221,2021-04-03,Texas,Allen,1517 Pine Bluff Dr,6,0,37.7849319,-122.4129481
18,1968553,2021-04-03,Florida,Quincy,2114 Pat Thomas Parkway,0,7,36.1144629,-80.24526589999999
