,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
0,1985432,"April 24, 2021",Louisiana,New Orleans,100 block of Bourbon St,0,5,View Incident View Source,"29.9542063, -90.0691878",29.9542063,-90.0691878
1,1984807,"April 22, 2021",California,San Diego,500 block of J St,1,4,View Incident View Source,"32.7095105, -117.1599882",32.7095105,-117.1599882
2,1981805,"April 19, 2021",Texas,Houston,700 E Whitney St,2,4,View Incident View Source,"29.8304693, -95.3892745",29.8304693,-95.3892745
3,1982260,"April 19, 2021",Georgia,Atlanta,1191 Oakland Ln SW,0,5,View Incident View Source,"33.7197359, -84.42625249999999",33.7197359,-84.42625249999999
4,1982020,"April 18, 2021",Alabama,Montgomery,2300 block of Day St,1,4,View Incident View Source,"32.3698089, -86.3293563",32.3698089,-86.3293563
5,1981521,"April 18, 2021",Michigan,Detroit,Ward Ave and W McNichols Rd,1,5,View Incident View Source,"42.4166243, -83.1742467",42.4166243,-83.1742467
6,1981353,"April 18, 2021",Louisiana,Shreveport,3701 Hearne Ave,0,6,View Incident View Source,"32.4777776, -93.7795905",32.4777776,-93.7795905
7,1980689,"April 18, 2021",Wisconsin,Kenosha,1548 Sheridan Rd,3,3,View Incident View Source,"42.6303111, -87.82177659999999",42.6303111,-87.82177659999999
8,1980492,"April 17, 2021",Ohio,Columbus,5001 Chatterton Rd,1,5,View Incident View Source,"39.914772, -82.86195909999999",39.914772,-82.86195909999999
9,1980971,"April 17, 2021",Louisiana,La Place (Laplace),624 Golfview Dr,0,9,View Incident View Source,"30.0843142, -90.4843125",30.0843142,-90.4843125
10,1979684,"April 16, 2021",Michigan,Detroit,Conant St and Minnesota St,0,4,View Incident View Source,"42.4237923, -83.06714099999999",42.4237923,-83.06714099999999
11,1978635,"April 15, 2021",Indiana,Indianapolis,8951 Mirabel Rd,9,7,View Incident View Source,"39.6810865, -86.3218126",39.6810865,-86.3218126
12,1978561,"April 15, 2021",District of Columbia,Washington,1800 block of West Virginia Ave NE,0,4,View Incident View Source,"38.9104693, -76.9857718",38.9104693,-76.9857718
13,1979869,"April 15, 2021",Louisiana,Lake Charles,4101 5th Ave,1,3,View Incident View Source,"30.1861705, -93.18758389999999",30.1861705,-93.18758389999999
14,1978616,"April 15, 2021",Florida,Pensacola,700 Truman Ave,0,6,View Incident View Source,"30.4508854, -87.2525044",30.4508854,-87.2525044
