Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
1985432,2021-04-24,Louisiana,New Orleans,100 block of Bourbon St,0,5,View Incident View Source,"29.9542063, -90.0691878",29.954206300000003,-90.06918780000001
1984807,2021-04-22,California,San Diego,500 block of J St,1,4,View Incident View Source,"32.7095105, -117.1599882",32.7095105,-117.1599882
1981805,2021-04-19,Texas,Houston,700 E Whitney St,2,4,View Incident View Source,"29.8304693, -95.3892745",29.830469300000004,-95.3892745
1982260,2021-04-19,Georgia,Atlanta,1191 Oakland Ln SW,0,5,View Incident View Source,"33.7197359, -84.42625249999999",33.719735899999996,-84.42625249999998
1982020,2021-04-18,Alabama,Montgomery,2300 block of Day St,1,4,View Incident View Source,"32.3698089, -86.3293563",32.369808899999995,-86.3293563
1981521,2021-04-18,Michigan,Detroit,Ward Ave and W McNichols Rd,1,5,View Incident View Source,"42.4166243, -83.1742467",42.416624299999995,-83.17424670000001
1981353,2021-04-18,Louisiana,Shreveport,3701 Hearne Ave,0,6,View Incident View Source,"32.4777776, -93.7795905",32.4777776,-93.7795905
1980689,2021-04-18,Wisconsin,Kenosha,1548 Sheridan Rd,3,3,View Incident View Source,"42.6303111, -87.82177659999999",42.6303111,-87.82177659999998
1980492,2021-04-17,Ohio,Columbus,5001 Chatterton Rd,1,5,View Incident View Source,"39.914772, -82.86195909999999",39.914772,-82.86195909999998
1980971,2021-04-17,Louisiana,La Place (Laplace),624 Golfview Dr,0,9,View Incident View Source,"30.0843142, -90.4843125",30.084314199999998,-90.4843125
1979684,2021-04-16,Michigan,Detroit,Conant St and Minnesota St,0,4,View Incident View Source,"42.4237923, -83.06714099999999",42.423792299999995,-83.06714099999998
1978635,2021-04-15,Indiana,Indianapolis,8951 Mirabel Rd,9,7,View Incident View Source,"39.6810865, -86.3218126",39.6810865,-86.32181259999999
1978561,2021-04-15,District of Columbia,Washington,1800 block of West Virginia Ave NE,0,4,View Incident View Source,"38.9104693, -76.9857718",38.910469299999995,-76.9857718
1979869,2021-04-15,Louisiana,Lake Charles,4101 5th Ave,1,3,View Incident View Source,"30.1861705, -93.18758389999999",30.186170500000003,-93.1875839
1978616,2021-04-15,Florida,Pensacola,700 Truman Ave,0,6,View Incident View Source,"30.4508854, -87.2525044",30.4508854,-87.2525044
1978652,2021-04-15,Illinois,Chicago,600 block of N Sawyer Ave,0,4,View Incident View Source,"41.8919757, -87.7079322",41.8919757,-87.7079322
1976538,2021-04-13,Maryland,Baltimore,2300 block of Hoffman St,0,4,View Incident View Source,"39.3069579, -76.5851806",39.30695789999999,-76.5851806
1975296,2021-04-12,Illinois,Chicago,I-290 and S Damen Ave,1,3,View Incident View Source,"41.8464272, -87.6768188",41.84642720000001,-87.67681879999999
1974943,2021-04-11,Kansas,Wichita,200 block of N Battin St,1,3,View Incident View Source,"37.6886379, -97.27681369999999",37.688637899999996,-97.2768137
1975004,2021-04-11,Washington,Seattle,306 23rd Ave S,0,4,View Incident View Source,"47.60011369999999, -122.301807",47.60011369999999,-122.30180700000001
1973809,2021-04-10,Michigan,Allendale,4926 Becker Dr,0,4,View Incident View Source,"42.97387140000001, -85.90771219999999",42.97387140000001,-85.90771219999998
1974088,2021-04-10,Tennessee,Memphis,4315 S 3rd St,1,3,View Incident View Source,"35.0310041, -90.0781442",35.031004100000004,-90.0781442
1973692,2021-04-10,Missouri,Koshkonong,US-63 and MO-F,1,3,View Incident View Source,"36.5945801, -91.6432198",36.5945801,-91.6432198
1975405,2021-04-10,Connecticut,Waterbury,36 Gasparri Ln,0,4,View Incident View Source,"41.5444505, -73.0118552",41.5444505,-73.0118552
1973844,2021-04-09,Texas,Fort Worth,2000 block of SW Loop 820,1,5,View Incident View Source,"32.6672368, -97.3503558",32.667236800000005,-97.3503558
1972187,2021-04-08,Texas,Bryan,350 Stone City Dr,1,5,View Incident View Source,"30.6502126, -96.40357639999999",30.6502126,-96.4035764
