Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1699193,"June 7, 2020",Tennessee,Dyersburg,1305 Grant St,0,5,View Incident View Source
1698987,"June 7, 2020",Illinois,Chicago,50 block of S Seeley Ave,1,3,View Incident View Source
1699667,"June 7, 2020",Illinois,Chicago,3700 block of S State St,0,6,View Incident View Source
1698306,"June 6, 2020",Missouri,Kansas City,E 18th St and Vine St,1,4,View Incident View Source
1700812,"June 6, 2020",Mississippi,Drew,Wilson Ave,0,5,View Incident View Source
1698868,"June 6, 2020",California,Sacramento,Gardendale Rd and 29th St,1,4,View Incident View Source
1698276,"June 6, 2020",Ohio,Ironton,1305 S 3rd St,0,4,View Incident View Source
1697541,"June 5, 2020",Colorado,Denver,4900 block of Wheeling St,0,4,View Incident View Source
1697453,"June 4, 2020",Alabama,Valhermoso Springs,522 Talucah Rd,7,0,View Incident View Source
1695998,"June 2, 2020",Texas,Dallas,7460 S Westmoreland Rd,1,3,View Incident View Source
1695586,"June 2, 2020",Wisconsin,Racine,Kewaunee St and Michigan Blvd,0,5,View Incident View Source
1695645,"June 2, 2020",Illinois,Chicago,8404 S Colfax Ave,0,4,View Incident View Source
1694735,"June 1, 2020",Missouri,Saint Louis,1915 Olive St,0,4,View Incident View Source
1693340,"May 31, 2020",Mississippi,Gulfport,S Carolina Ave and Polk St,1,5,View Incident View Source
1693580,"May 31, 2020",Pennsylvania,Philadelphia,700 block of E Clearfield St,0,4,View Incident View Source
1692513,"May 30, 2020",New Jersey,Paterson,E 23rd St and 10th Ave,0,4,View Incident View Source
1692912,"May 30, 2020",District of Columbia,Washington,300 block of 37th St SE,0,4,View Incident View Source
1693064,"May 30, 2020",Texas,Houston,9635 Scott St,1,4,View Incident View Source
1693246,"May 30, 2020",Florida,Altha,21281 Apachee Rd,2,4,View Incident View Source
1692496,"May 30, 2020",North Carolina,Gastonia,3000 block of Earl Ln,1,5,View Incident View Source
1692102,"May 29, 2020",Virginia,Portsmouth,500 block of Edwards St,0,5,View Incident View Source
1691221,"May 28, 2020",Kentucky,Louisville,601 W Jefferson St,0,7,View Incident View Source
1690922,"May 28, 2020",Tennessee,Memphis,TN 385 and Kirby Pkwy,0,4,View Incident View Source
1691440,"May 28, 2020",Pennsylvania,Philadelphia,300 block of N 55th St,1,3,View Incident View Source
1690369,"May 27, 2020",Massachusetts,Boston,5 Ames St,1,4,View Incident View Source
