Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1605798,"January 26, 2020",New York,Newburgh,1571 NY-300,3,1,View Incident View Source
1605770,"January 26, 2020",North Carolina,Salisbury,1935 Jake Alexander Blvd,0,6,View Incident View Source
1605752,"January 26, 2020",South Carolina,Hartsville,115 W Camden Ave,3,3,View Incident View Source
1606476,"January 24, 2020",North Carolina,Vanceboro,107 Kinshaw Ct,5,0,View Incident View Source
1603241,"January 22, 2020",Washington,Seattle,1530 3rd Ave,1,7,View Incident View Source
1600787,"January 19, 2020",Missouri,Kansas City,4802 Noland Rd,2,15,View Incident View Source
1600221,"January 19, 2020",Tennessee,Memphis,6761 Winchester Rd,1,4,View Incident View Source
1600522,"January 19, 2020",Texas,San Antonio,1011 Avenue B,2,5,View Incident View Source
1600350,"January 18, 2020",Texas,South Houston,700 block of Virginia St,2,2,View Incident View Source
1599331,"January 17, 2020",Utah,Grantsville,93 Eastmoor Dr,4,1,View Incident View Source
1598447,"January 16, 2020",Illinois,Chicago,234 N Pulaski Rd,0,5,View Incident View Source
1594173,"January 11, 2020",Colorado,Aurora,17158 E Adriatic Place,0,5,View Incident View Source
1592655,"January 8, 2020",Mississippi,Bay Saint Louis,10 Bay Park Way,2,2,View Incident View Source
1588919,"January 5, 2020",Georgia,Atlanta,1008 Brady Ave NW,0,4,View Incident View Source
1588308,"January 4, 2020",Florida,Ocala,800 block of NW 6th Ter,1,3,View Incident View Source
1586839,"January 2, 2020",New York,Brooklyn,6120 3rd Ave,0,4,View Incident View Source
1585746,"January 1, 2020",Ohio,Cleveland,1437 St Clair Ave NE,0,4,View Incident View Source
1585394,"January 1, 2020",West Virginia,Huntington,1113 4th Ave,0,7,View Incident View Source
1585894,"January 1, 2020",Missouri,Saint Louis,3000 block of S Jefferson Ave,3,2,View Incident View Source
1582816,"December 29, 2019",Illinois,Danville,1803 block of Westview Ave,0,5,View Incident View Source
1582197,"December 29, 2019",New York,Buffalo,50 block of Henrietta Ave,1,3,View Incident View Source
1583444,"December 29, 2019",California,Ceres,800 block of Allacante Dr,0,5,View Incident View Source
1581590,"December 27, 2019",California,Modesto,1900 block of Vernon Ave,1,3,View Incident View Source
1581476,"December 27, 2019",Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,View Incident View Source
1581103,"December 27, 2019",Texas,Houston,500 block of Smart St,2,7,View Incident View Source
