Rank,State,2019 Poverty rate(percent of persons in poverty)[note 2][7],2014 Poverty Rates (includes unrelated children),Supplemental Poverty Measure (2017–2019 average) (Geographically Adjusted)
-,United States,10.5%[8],,11.7%[9][10]
1,New Hampshire,7.3%,9.5%,8.3%
2,Utah,8.9%,9.8%,8.0%
3,Maryland,9.0%,9.6%,12.0%
4,Minnesota,9.0%,12.1%,6.5%
5,New Jersey,9.2%,13.7%,12.5%[11][12]
6,Colorado,9.3%,12.4%,11.3%
7,Hawaii,9.3%,12.6%,13.4%
8,Massachusetts,9.4%,10.9%,11.2%
9,Washington,9.8%,11.9%,9.0%
10,Virginia,9.9%,10.8%,11.5%
11,Nebraska,9.9%,10.0%,9.2%[13][14]
12,Connecticut,10.0%,10.6%,11.2%[15][16][17]
13,Alaska,10.1%,12.1%,12.3%
14,Wyoming,10.1%,9.3%,9.5%
15,Vermont,10.2%,9.7%,9.4%[18]
16,Wisconsin,10.4%,11.1%,7.5%
17,North Dakota,10.6%,11.0%,9.3%
18,Rhode Island,10.8%,13.2%,7.3%
19,Maine,10.9%,11.6%,9.6%
20,Idaho,11.2%,13.9%,8.4%
21,Iowa,11.2%,10.9%,6.7%
22,Delaware,11.3%,12.4%,10.5%
23,Kansas,11.4%,13.9%,7.4%
24,Oregon,11.4%,7.11%,11.0%
25,Illinois,11.5%,13.3%,11.4%
26,California,11.8%,15.5%,17.2%
27,Indiana,11.9%,16.4%,10.3%
28,South Dakota,11.9%,14.3%,9.2%
29,Pennsylvania,12.0%,11.2%,10.9%
30,Nevada,12.5%,13.1%,13.4%
31,Montana,12.6%,13.5%,8.9%
32,Florida,12.7%,14.6%,15.4%[19]
33,Missouri,12.9%,15.6%,9.2%
34,Michigan,13.0%,27.6%,9.7%
35,New York,13.0%,15.9%,14.4%[20]
36,Ohio,13.1%,13.5%,10.1%
37,Arizona,13.5%,21.3%,12.0%
38,Georgia,13.3%,18.5%,13.3%
39,District of Columbia,13.5%,18.0%,16.7%[21]
40,North Carolina,13.6%,17.0%,13.1%
41,Texas,13.6%,17.4%,13.7%
42,South Carolina,13.8%,13.8%,13.1%
43,Tennessee,13.9%,16.7%,11.0%
44,Oklahoma,15.2%,13.0%,10.7%
45,Alabama,15.5%,16.8%,13.1%
46,West Virginia,16.0%,16.0%,13.3%
47,Arkansas,16.2%,19.1%,12.5%
48,Kentucky,16.3%,17.1%,11.2%
49,New Mexico,18.2%,19.6%,13.6%
50,Louisiana,19.0%,14.3%,16.2%[22]
51,Mississippi,19.6%,23.2%,15.2%[23]
52,Puerto Rico,43.5%,—,—
53,American Samoa [6][note 3],65.0%,—,—
