Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1405317,"May 25, 2019",Maryland,Baltimore,500 block of N Belnord Ave,0,4,View Incident View Source
1405221,"May 25, 2019",Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,View Incident View Source
1400095,"May 20, 2019",Oklahoma,Tulsa,8118 E 16th St,2,2,View Incident View Source
1400146,"May 20, 2019",Louisiana,Alexandria,1900 block of Bacon Street,1,4,View Incident View Source
1400561,"May 20, 2019",Ohio,Columbus,2424 Sullivant Ave,0,4,View Incident View Source
1399820,"May 19, 2019",Oregon,Portland,226 SE Madison St,0,5,View Incident View Source
1399017,"May 18, 2019",Mississippi,Cascilla,700 Leverette Ln,1,4,View Incident View Source
1398553,"May 18, 2019",Alabama,Atmore,100 Martin Luther King Avenue,1,8,View Incident View Source
1398538,"May 18, 2019",Indiana,Muncie,2410 W. Euclid Ave,1,6,View Incident View Source
1398593,"May 18, 2019",California,Long Beach,1616 West Pacific Coast Highway,1,4,View Incident View Source
1398584,"May 18, 2019",Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2,View Incident View Source
1400934,"May 18, 2019",Nebraska,Omaha,2825 Y St,0,4,View Incident View Source
1399346,"May 18, 2019",North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4,View Incident View Source
1398876,"May 17, 2019",California,Sacramento,7326 Stockton Blvd,1,3,View Incident View Source
1397521,"May 16, 2019",Ohio,Cleveland,9500 Cardwell Ave,0,4,View Incident View Source
1396491,"May 15, 2019",Louisiana,Saint Rose,100 block of St. Rose Ave,0,4,View Incident View Source
1395560,"May 14, 2019",California,Los Angeles,1248 W 47th St,0,4,View Incident View Source
1393960,"May 13, 2019",Louisiana,New Orleans,2100 block of 4th St,0,4,View Incident View Source
1394330,"May 13, 2019",Missouri,Saint Louis,4047 Shreve Ave,4,1,View Incident View Source
1392923,"May 11, 2019",Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,View Incident View Source
1391971,"May 10, 2019",Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,View Incident View Source
1392313,"May 10, 2019",Missouri,Saint Louis,4000 block of Ashland Ave,0,6,View Incident View Source
1390764,"May 8, 2019",Indiana,Indianapolis,Roache St and Rader St,0,4,View Incident View Source
1389220,"May 7, 2019",Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,View Incident View Source
1386962,"May 5, 2019",New Jersey,North Bergen,2033 45th Street,1,4,View Incident View Source
